cell_type,n_neurons,entropy,dominant_nt,dominant_frac,p_ACH,p_GABA,p_GLUT,p_DA,p_SER,p_OCT,p_fast_transmitters,is_seed,already_name_matched,literature_confirmed,entropy_z,js_histamine_blindspot,js_ORN_SER_confusion,js_Dm_GLUT_confusion,best_pattern_heuristic,best_js_heuristic,pattern_threshold_heuristic,in_neighborhood_heuristic,best_pattern_calibrated,best_js_calibrated,best_p_calibrated,best_q_calibrated,significant,q_Dm_GLUT_confusion,q_ORN_SER_confusion,q_histamine_blindspot,p_Dm_GLUT_confusion,p_ORN_SER_confusion,p_histamine_blindspot,matched_patterns,entropy_p_value,entropy_z_reconstructed,entropy_q_value,entropy_channel_significant,best_pattern,best_js,in_neighborhood,is_novel_candidate,gt_verified_nt,gt_agrees_with_pattern
LMa3,19,0.9980008838722996,GABA,0.5263157894736842,0.0,0.5263157894736842,0.47368421052631576,0.0,0.0,0.0,1.0,False,False,False,-0.3197552750821644,0.0934201290937901,0.8677717552706187,0.003841426240480797,Dm_GLUT_confusion,0.003841426240480797,0.12,True,Dm_GLUT_confusion,0.003841426240480797,0.0021849955847813574,0.3834667251291282,True,0.3834667251291282,0.999999993271446,0.9323647515728891,0.0021849955847813574,0.9925110859838152,0.08699778258050139,Dm_GLUT_confusion,0.6484675766211689,-0.2869497709024119,1.0,False,Dm_GLUT_confusion,0.003841426240480797,True,True,,
Sm04,103,0.8299524341722848,GABA,0.7378640776699029,0.0,0.7378640776699029,0.2621359223300971,0.0,0.0,0.0,1.0,False,False,False,-2.738756137196205,0.14184329106787105,0.8548043047950109,0.00010326380641856791,Dm_GLUT_confusion,0.00010326380641856791,0.12,True,Dm_GLUT_confusion,0.00010326380641856791,0.0021849955847813574,0.3834667251291282,True,0.3834667251291282,0.999999993271446,0.9323647515728891,0.0021849955847813574,0.991571418566648,0.10336188046647221,Dm_GLUT_confusion,0.9953502324883756,-2.7135861078595696,1.0,False,Dm_GLUT_confusion,0.00010326380641856791,True,True,,
LPi07,64,0.5858732928619205,GABA,0.859375,0.0,0.859375,0.140625,0.0,0.0,0.0,1.0,False,False,False,-3.556204716146925,0.20997631364417085,0.8488989244733905,8.111605224043724e-05,Dm_GLUT_confusion,8.111605224043724e-05,0.12,True,Dm_GLUT_confusion,8.111605224043724e-05,0.0021849955847813574,0.3834667251291282,True,0.3834667251291282,0.999999993271446,0.9323647515728891,0.0021849955847813574,0.9911667599358626,0.4002948992112402,Dm_GLUT_confusion,0.9998000099995,-3.6739656884227276,1.0,False,Dm_GLUT_confusion,8.111605224043724e-05,True,True,,
vDeltaA_b,17,0.9774178175281716,SER,0.5882352941176471,0.4117647058823529,0.0,0.0,0.0,0.5882352941176471,0.0,0.4117647058823529,False,False,False,-0.3226644906669057,0.3810353366294414,0.00039144261024222186,0.9999999999971145,ORN_SER_confusion,0.00039144261024222186,0.12,True,ORN_SER_confusion,0.00039144261024222186,0.007264770287090272,0.5666520823930412,True,0.9973537708425986,0.5666520823930412,0.9323647515728891,0.9795811410520254,0.007264770287090272,0.1822554939915284,ORN_SER_confusion,0.7081645917704115,-0.2985238735034691,1.0,False,ORN_SER_confusion,0.00039144261024222186,True,True,ACH,True
ENS3,16,0.6962122601251458,SER,0.8125,0.1875,0.0,0.0,0.0,0.8125,0.0,0.1875,False,False,False,-1.21178735296881,0.5941992052630908,0.0005373743422508173,0.9999999999971145,ORN_SER_confusion,0.0005373743422508173,0.12,True,ORN_SER_confusion,0.0005373743422508173,0.007264770287090272,0.5666520823930412,True,0.9973537708425986,0.5666520823930412,0.9323647515728891,0.9795811410520254,0.007264770287090272,0.19367456846856346,ORN_SER_confusion,0.8610069496525173,-1.1453562157254706,1.0,False,ORN_SER_confusion,0.0005373743422508173,True,True,,
LB1c,10,0.4689955935892812,SER,0.9,0.1,0.0,0.0,0.0,0.9,0.0,0.1,False,False,False,-1.278996452206636,0.7140716214079937,0.00036232874062966467,0.9999999999971146,ORN_SER_confusion,0.00036232874062966467,0.12,True,ORN_SER_confusion,0.00036232874062966467,0.007264770287090272,0.5666520823930412,True,0.9973537708425986,0.5666520823930412,0.9323647515728891,0.9754044605139015,0.007264770287090272,0.19745716790880663,ORN_SER_confusion,0.9608519574021299,-1.31416090780655,1.0,False,ORN_SER_confusion,0.00036232874062966467,True,True,,
ocellar_retinula_cell,125,0.7665188914976587,SER,0.848,0.08,0.0,0.072,0.0,0.848,0.0,0.152,False,False,False,-3.539084683077751,0.6485390323014476,0.03697123741224691,0.8544279193879306,ORN_SER_confusion,0.03697123741224691,0.12,True,ORN_SER_confusion,0.03697123741224691,0.007264770287090272,0.5666520823930412,True,0.9973537708425986,0.5666520823930412,0.9323647515728891,0.9954708652965025,0.007264770287090272,0.1434141163793612,ORN_SER_confusion,0.999750012499375,-3.584967851181486,1.0,False,ORN_SER_confusion,0.03697123741224691,True,True,,
CRE056,10,0.8812908992306927,GABA,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.0,False,False,False,-0.2715144139473992,0.12785210551258946,0.8568377913862162,0.0006565557959124623,Dm_GLUT_confusion,0.0006565557959124623,0.12,True,Dm_GLUT_confusion,0.0006565557959124623,0.00654543370497207,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.00654543370497207,0.9919593160929079,0.08287588261626766,Dm_GLUT_confusion,0.6917654117294135,-0.2585582731361243,1.0,False,Dm_GLUT_confusion,0.0006565557959124623,True,True,,
AN_GNG_197,13,0.8904916402194913,GABA,0.6923076923076923,0.0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,1.0,False,False,False,-0.4394203501615632,0.12533613685780975,0.8572638295544295,0.0010708036357977516,Dm_GLUT_confusion,0.0010708036357977516,0.12,True,Dm_GLUT_confusion,0.0010708036357977516,0.0108931499140833,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.0108931499140833,0.9919593160929079,0.07874159528353941,Dm_GLUT_confusion,0.6922153892305385,-0.39400195600899807,1.0,False,Dm_GLUT_confusion,0.0010708036357977516,True,True,,
Sm17,13,0.7732283485249176,GABA,0.8461538461538461,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.0,0.0,0.0,1.0,False,False,False,-0.7212808615024239,0.1851671960593103,0.6890289029081349,0.044076194389970964,Dm_GLUT_confusion,0.044076194389970964,0.12,True,Dm_GLUT_confusion,0.044076194389970964,0.0108931499140833,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.0108931499140833,0.9159856262226733,0.39091653450272745,Dm_GLUT_confusion,0.8350082495875206,-0.7316105843400588,1.0,False,Dm_GLUT_confusion,0.044076194389970964,True,True,,
LPi09,83,0.9438767571287908,GABA,0.6385542168674698,0.0,0.6385542168674698,0.3614457831325301,0.0,0.0,0.0,1.0,False,False,False,-1.6361140580424511,0.11053085642436909,0.8603745824616036,0.001215475121429263,Dm_GLUT_confusion,0.001215475121429263,0.12,True,Dm_GLUT_confusion,0.001215475121429263,0.0108931499140833,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.0108931499140833,0.9925110859838152,0.08699778258050139,Dm_GLUT_confusion,0.9395030248487576,-1.5933085799808249,1.0,False,Dm_GLUT_confusion,0.001215475121429263,True,True,,
CB1079,17,0.3227569588973982,GABA,0.9411764705882352,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1.0,False,False,False,-2.4314982128024774,0.29024447615191956,0.8453632546045612,0.011806561193372818,Dm_GLUT_confusion,0.011806561193372818,0.12,True,Dm_GLUT_confusion,0.011806561193372818,0.0108931499140833,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.0108931499140833,0.990077526197672,0.40339949234587635,Dm_GLUT_confusion,0.9961501924903755,-2.47214933816789,1.0,False,Dm_GLUT_confusion,0.011806561193372818,True,True,,
TmY16,88,0.7927652363756528,GABA,0.7613636363636364,0.0,0.7613636363636364,0.23863636363636365,0.0,0.0,0.0,1.0,False,False,True,-2.904077417639652,0.15199025230522079,0.8535922843075833,0.0011019268186994568,Dm_GLUT_confusion,0.0011019268186994568,0.12,True,Dm_GLUT_confusion,0.0011019268186994568,0.00654543370497207,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.00654543370497207,0.991571418566648,0.39717955424963625,Dm_GLUT_confusion,0.9962501874906254,-2.7919326204203894,1.0,False,Dm_GLUT_confusion,0.0011019268186994568,True,True,GLUT,True
